iter	Logloss
0	0.6252179819
1	0.5706050453
2	0.5230150634
3	0.4808699223
4	0.4436783329
5	0.4114722038
6	0.3852897155
7	0.363682873
8	0.3420527216
9	0.3241828451
10	0.3099774052
11	0.297313989
12	0.2858939669
13	0.2745204343
14	0.2660115971
15	0.2579624868
16	0.2517631914
17	0.2456345963
18	0.2400026236
19	0.2352630587
20	0.2309770114
21	0.2277634493
22	0.2245810572
23	0.2214947076
24	0.2192433122
25	0.2167204687
26	0.2150034285
27	0.2130847686
28	0.2115169325
29	0.2099019537
30	0.2086848678
31	0.2076469753
32	0.2065503139
33	0.2054315948
34	0.2047605508
35	0.2039386076
36	0.2030875076
37	0.2025100034
38	0.2019105091
39	0.2013076228
40	0.2007130271
41	0.200325738
42	0.1998453983
43	0.1993684449
44	0.1990891366
45	0.1987009063
46	0.1984932013
47	0.1980972862
48	0.1978216313
49	0.1976193063
50	0.1973089778
51	0.1970601357
52	0.1968244778
53	0.1966145951
54	0.1964752025
55	0.1962681851
56	0.1961706346
57	0.1960534425
58	0.19584065
59	0.1956780583
60	0.1955815539
61	0.1954574925
62	0.1953035695
63	0.1951989632
64	0.1951100363
65	0.1950047456
66	0.194874293
67	0.19477704
68	0.1947183517
69	0.1946318387
70	0.194542402
71	0.1944516687
72	0.1943751119
73	0.1943031297
74	0.1942442885
75	0.1941764306
76	0.1940812592
77	0.1939955002
78	0.1939411511
79	0.1938488306
80	0.1937735113
81	0.1937124956
82	0.1936736888
83	0.1935962355
84	0.1935321338
85	0.1934855688
86	0.1934231467
87	0.1933751593
88	0.1933199249
89	0.1932558504
90	0.1931979176
91	0.1931487071
92	0.1931029899
93	0.1930510625
94	0.1929896876
95	0.1929209613
96	0.1928749901
97	0.1928163605
98	0.1927775727
99	0.1927222442
100	0.1926727099
101	0.1926222414
102	0.1925869886
103	0.1925481838
104	0.192499931
105	0.1924440696
106	0.1923927076
107	0.192353212
108	0.1923158975
109	0.1922714454
110	0.1922254286
111	0.1921655472
112	0.1921280139
113	0.1920970171
114	0.1920574526
115	0.1920278979
116	0.1919915708
117	0.1919594889
118	0.1919081484
119	0.1918516362
120	0.1918204131
121	0.191778427
122	0.1917258841
123	0.1916775565
124	0.1916296463
125	0.1915954506
126	0.1915539248
127	0.191518812
128	0.1914927048
129	0.1914436552
130	0.1914189731
131	0.1913870306
132	0.191348787
133	0.191308236
134	0.1912564138
135	0.1912246213
136	0.1911936735
137	0.1911673097
138	0.1911410574
139	0.1911081958
140	0.1910754412
141	0.1910429555
142	0.1910145546
143	0.1909854062
144	0.1909440256
145	0.1909101692
146	0.1908787888
147	0.1908489976
148	0.1908202671
149	0.1907897067
150	0.1907573684
151	0.1907210098
152	0.1906817284
153	0.1906574284
154	0.1906334764
155	0.1906146431
156	0.1905934791
157	0.1905619233
158	0.190529888
159	0.1904881649
160	0.1904558598
161	0.190418183
162	0.1903881457
163	0.1903608849
164	0.190331061
165	0.190297198
166	0.1902700865
167	0.1902469745
168	0.1902245299
169	0.190190465
170	0.1901633506
171	0.190141807
172	0.19011242
173	0.1900848829
174	0.1900533219
175	0.1900164585
176	0.1899861913
177	0.1899628383
178	0.189934928
179	0.1899025121
180	0.1898661647
181	0.1898411134
182	0.1898098291
183	0.1897775087
184	0.1897415779
185	0.1897155703
186	0.1896940344
187	0.1896645579
188	0.1896358295
189	0.1896075672
190	0.1895754691
191	0.1895503505
192	0.1895121644
193	0.1894713859
194	0.1894401918
195	0.1894181028
196	0.1893925954
197	0.1893548378
198	0.1893282461
199	0.1892953384
200	0.1892649814
201	0.1892396316
202	0.1892146544
203	0.1891788221
204	0.1891485066
205	0.1891156608
206	0.1890855864
207	0.189058156
208	0.1890218926
209	0.1889984977
210	0.1889826694
211	0.1889607589
212	0.1889362138
213	0.1889098278
214	0.1888796538
215	0.1888529426
216	0.1888329602
217	0.1887936034
218	0.1887711811
219	0.1887332068
220	0.1887044226
221	0.1886802742
222	0.1886599823
223	0.188633902
224	0.188606726
225	0.1885858463
226	0.1885512409
227	0.1885140945
228	0.1884970028
229	0.1884729336
230	0.188451967
231	0.188426217
232	0.1884012662
233	0.1883848271
234	0.1883616617
235	0.1883364927
236	0.188315956
237	0.1882879962
238	0.1882632635
239	0.1882251586
240	0.1882021179
241	0.1881785626
242	0.1881494072
243	0.188109042
244	0.1880735416
245	0.1880462749
246	0.1880129736
247	0.1879706711
248	0.1879532987
249	0.1879307687
250	0.1879038635
251	0.1878730992
252	0.1878365909
253	0.1878119356
254	0.1877876141
255	0.1877599519
256	0.1877393907
257	0.1877151439
258	0.1876936011
259	0.1876724539
260	0.1876558714
261	0.1876165258
262	0.1875972966
263	0.1875753311
264	0.1875464593
265	0.1875280321
266	0.1874996566
267	0.1874778608
268	0.1874601502
269	0.1874379267
270	0.1874005957
271	0.1873811942
272	0.1873569458
273	0.1873219914
274	0.1872944854
275	0.1872704522
276	0.1872428724
277	0.1872177397
278	0.18719738
279	0.1871732961
280	0.187138733
281	0.1871021811
282	0.1870769751
283	0.1870482822
284	0.1870276259
285	0.1870002749
286	0.186972635
287	0.1869476936
288	0.1869226859
289	0.1868859681
290	0.1868510891
291	0.186822058
292	0.1867934049
293	0.1867758011
294	0.1867464745
295	0.1867274744
296	0.1867087594
297	0.186679857
298	0.1866576915
299	0.186635709
300	0.1866091535
301	0.1865847953
302	0.1865572509
303	0.1865269785
304	0.1865051923
305	0.1864743113
306	0.1864390667
307	0.1864155383
308	0.1863988887
309	0.1863845826
310	0.1863551439
311	0.1863333372
312	0.1863134578
313	0.1862915944
314	0.1862717753
315	0.1862403442
316	0.1862174949
317	0.1861890078
318	0.186170734
319	0.1861502226
320	0.1861295568
321	0.1861118592
322	0.1860838931
323	0.1860468215
324	0.1860285019
325	0.186012374
326	0.185988887
327	0.1859687106
328	0.185950996
329	0.1859315274
330	0.1859086792
331	0.1858874227
332	0.1858653842
333	0.1858244216
334	0.1858074005
335	0.1857913272
336	0.1857708748
337	0.1857467008
338	0.1857114428
339	0.1856890767
340	0.185658107
341	0.1856318259
342	0.1856064965
343	0.1855885106
344	0.1855666152
345	0.1855431794
346	0.1855141898
347	0.1854876213
348	0.1854657798
349	0.1854418385
350	0.1854086331
351	0.1853878493
352	0.1853703388
353	0.185342425
354	0.1853194804
355	0.1852895125
356	0.185270408
357	0.1852503278
358	0.1852272004
359	0.1852039731
360	0.1851759912
361	0.1851513191
362	0.1851187584
