iter	Logloss
363	0.1850999516
364	0.1850820462
365	0.1850631737
366	0.185048903
367	0.1850255941
368	0.1850063863
369	0.1849881981
370	0.1849686188
371	0.1849451863
372	0.1849279635
373	0.1849059019
374	0.1848867397
375	0.1848643883
376	0.1848382747
377	0.1848209159
378	0.1848044763
379	0.184786684
380	0.1847516716
381	0.1847280984
382	0.1847059284
383	0.1846849913
384	0.1846584815
385	0.1846246961
386	0.1846065817
387	0.1845870723
388	0.1845720511
389	0.1845481693
390	0.1845247022
391	0.184508168
392	0.1844764983
393	0.1844555635
394	0.1844330539
395	0.1844082558
396	0.1843834827
397	0.1843639141
398	0.1843469017
399	0.1843247783
400	0.1842991568
401	0.1842701424
402	0.1842507398
403	0.1842242719
404	0.1842043414
405	0.1841911703
406	0.1841680008
407	0.1841459821
408	0.1841277106
409	0.1841102416
410	0.1840742409
411	0.1840573107
412	0.1840365078
413	0.1840215803
414	0.1839948041
415	0.1839732816
416	0.1839530508
417	0.1839339564
418	0.1839155657
419	0.1838939191
420	0.1838818444
421	0.1838476098
422	0.1838315645
423	0.1838148188
424	0.1837999269
425	0.1837814051
426	0.1837665198
427	0.1837498461
428	0.1837351839
429	0.1837180984
430	0.1837053212
431	0.1836838078
432	0.1836638881
433	0.1836426484
434	0.1836022299
435	0.183573478
436	0.1835448762
437	0.1835225827
438	0.1834959487
439	0.1834786182
440	0.183454034
441	0.1834357865
442	0.1834209873
443	0.1833873058
444	0.1833741816
445	0.1833430463
446	0.1833301491
447	0.183307041
448	0.1832830127
449	0.1832439019
450	0.1832264266
451	0.1832098728
452	0.1831884864
453	0.1831745402
454	0.1831595731
455	0.1831456512
456	0.1831293744
457	0.1831156443
458	0.1830955093
459	0.183081463
460	0.183055837
461	0.1830276827
462	0.1830142854
463	0.182989515
464	0.1829658951
465	0.1829494003
466	0.1829236546
467	0.1828993138
468	0.1828768482
469	0.182861069
470	0.1828464584
471	0.1828193897
472	0.1828007261
473	0.182784959
474	0.1827590724
475	0.1827423488
476	0.1827215017
477	0.1826995951
478	0.1826735511
479	0.1826593057
480	0.1826381738
481	0.1826183365
482	0.1825958612
483	0.1825765076
484	0.1825545511
485	0.1825315934
486	0.182514128
487	0.182500127
488	0.1824725892
489	0.1824583091
490	0.1824278101
491	0.1824089077
492	0.1823995779
493	0.1823757247
494	0.1823575084
495	0.182336704
496	0.1823105296
497	0.1822944006
498	0.1822651151
499	0.1822474223
